anio,mes,valor
1999,11,34.61252596353249
1999,12,34.24293856668367
2000,1,34.34315266175708
2000,2,34.31641545650675
2000,3,34.366995994757595
2000,4,34.43558205451534
2000,5,34.2587525843415
2000,6,34.31026722965073
2000,7,34.407668990150164
2000,8,34.3196125916913
2000,9,34.3399269168617
2000,10,34.51582514094824
2000,11,34.451776581327124
2000,12,34.08011641092913
2001,1,33.93664443309023
2001,2,33.765994660454304
2001,3,34.04632834244629
2001,4,34.35972054529511
2001,5,34.46745899431516
2001,6,34.390989528739915
2001,7,34.59429013385344
2001,8,34.503726094240875
2001,9,34.22678409346705
2001,10,34.14706313425669
2001,11,33.90986002181704
2001,12,33.86633034679871
2002,1,34.29390247505955
2002,2,35.117976585626636
2002,3,36.74472474306466
2002,4,40.47211230802518
2002,5,43.00903550075435
2002,6,44.84916918637125
2002,7,46.4020899850286
2002,8,47.82982899397667
2002,9,48.66026876520204
2002,10,49.190192133934815
2002,11,49.69292197252963
2002,12,49.78350031699761
2003,1,50.33674060005173
2003,2,50.42992242820466
2003,3,51.02906699227548
2003,4,51.447669976193076
2003,5,51.04932266753869
2003,6,50.85653613115291
2003,7,50.621450137314206
2003,8,50.714517526623844
2003,9,50.577848938018825
2003,10,51.235085519917256
2003,11,51.590031897252025
2003,12,51.42122029853653
2004,1,51.55967699406803
2004,2,51.61774040218482
2004,3,52.289310449205956
2004,4,52.86139022683751
2004,5,53.3134951821297
2004,6,53.5754456944319
2004,7,53.65858551408569
2004,8,54.06354166594037
2004,9,54.20033899824409
2004,10,54.31406259876847
2004,11,54.37557347703952
2004,12,54.39521404352001
2005,1,54.338738474353946
2005,2,54.72478360735413
2005,3,55.60938156116884
2005,4,56.28112326645491
2005,5,56.725998547821945
2005,6,57.03898020132045
2005,7,57.373513549982476
2005,8,57.78313308470141
2005,9,58.70824238904255
2005,10,59.269380023116106
2005,11,60.039350713694375
2005,12,60.266398464897925
2006,1,61.00148397137198
2006,2,61.31180344675652
2006,3,61.96312244732326
2006,4,62.550318728276764
2006,5,63.07034358109667
2006,6,63.41559020731573
2006,7,63.54162657755709
2006,8,63.7446330079848
2006,9,64.20798935002526
2006,10,64.64011568426301
2006,11,65.3105043873389
2006,12,66.33260477529352
2007,1,67.30692310365741
2007,2,67.94336246859487
2007,3,68.88180129862918
2007,4,70.54206875780518
2007,5,71.94710744816216
2007,6,73.73313589889374
2007,7,75.31506366064974
2007,8,76.44313105832562
2007,9,77.03580068694882
2007,10,77.57329903042984
2007,11,77.42022922045572
2007,12,78.06950822368916
2008,1,78.80342514057793
2008,2,79.40330930581581
2008,3,80.73343662678778
2008,4,81.98021642994603
2008,5,82.5612279764229
2008,6,83.34892433746107
2008,7,84.03787788524151
2008,8,84.577380728313
2008,9,85.27359260258032
2008,10,85.78412186878103
2008,11,86.19359615073269
2008,12,86.48765397995943
2009,1,86.92471171561459
2009,2,87.54116658094755
2009,3,88.39992194314537
2009,4,89.14993103027092
2009,5,89.38519555684213
2009,6,89.81657179664823
2009,7,90.38200849258342
2009,8,91.07747709645106
2009,9,91.70813721128226
2009,10,92.68216152959931
2009,11,93.45715269706866
2009,12,94.81174616870004
2010,1,95.76570019035663
2010,2,97.91169135693681
2010,3,99.60152606163969
2010,4,100.6027922091548
2010,5,101.32931668063097
2010,6,102.04755215215181
2010,7,102.89767502593665
2010,8,103.73776454918692
2010,9,104.503203503331
2010,10,106.3509578747932
2010,11,107.45631929582362
2010,12,108.33493365521164
2011,1,109.22057590173532
2011,2,110.20273556651955
2011,3,112.98488951174927
2011,4,116.56952856184887
2011,5,118.48227225545985
2011,6,120.16175671062538
2011,7,122.09454771660369
2011,8,124.127799846631
2011,9,126.51497072350503
2011,10,127.99877935249407
2011,11,129.6864137827667
2011,12,131.3785867425809
2012,1,132.5328759606977
2012,2,133.39601156571564
2012,3,136.7
